time iter num.topics num.tables likelihood gamma alpha split merge trial
    2.00 00000 0008 148978 -4914905.62932 1.00000 1.00000 0 0 0
    4.00 00001 0006 148539 -4908836.98556 1.00000 1.00000 0 0 0
    6.00 00002 0007 147976 -4902590.46204 1.00000 1.00000 0 0 0
    8.00 00003 0006 147646 -4899726.06468 1.00000 1.00000 0 0 0
    9.00 00004 0007 147774 -4897474.88252 1.00000 1.00000 0 0 0
   11.00 00005 0008 148005 -4896244.76474 1.00000 1.00000 0 0 0
   13.00 00006 0008 148058 -4895252.86139 1.00000 1.00000 0 0 0
   15.00 00007 0010 147863 -4893043.00113 1.00000 1.00000 0 0 0
   18.00 00008 0011 148191 -4890978.94224 1.00000 1.00000 0 0 0
   20.00 00009 0008 147799 -4890826.25992 1.00000 1.00000 0 0 0
   22.00 00010 0009 147796 -4889517.78018 1.00000 1.00000 0 0 0
   24.00 00011 0008 148455 -4890285.11303 1.00000 1.00000 0 0 0
   26.00 00012 0010 148623 -4883724.02733 1.00000 1.00000 0 0 0
   28.00 00013 0011 147450 -4863676.38209 1.00000 1.00000 0 0 0
   31.00 00014 0009 146530 -4849714.90199 1.00000 1.00000 0 0 0
   33.00 00015 0010 146556 -4842138.81579 1.00000 1.00000 0 0 0
   36.00 00016 0008 146298 -4833313.64349 1.00000 1.00000 0 0 0
   38.00 00017 0009 146229 -4815098.27935 1.00000 1.00000 0 0 0
   40.00 00018 0011 146047 -4803639.78461 1.00000 1.00000 0 0 0
   42.00 00019 0012 145221 -4795765.98160 1.00000 1.00000 0 0 0
   45.00 00020 0011 145181 -4791748.12277 1.00000 1.00000 0 0 0
   48.00 00021 0009 145031 -4789584.89518 1.00000 1.00000 0 0 0
   50.00 00022 0008 144757 -4787224.56171 1.00000 1.00000 0 0 0
   52.00 00023 0008 144582 -4786110.40882 1.00000 1.00000 0 0 0
   54.00 00024 0009 144732 -4784807.77359 1.00000 1.00000 0 0 0
   56.00 00025 0008 144608 -4781026.52710 1.00000 1.00000 0 0 0
   58.00 00026 0008 144058 -4775547.95717 1.00000 1.00000 0 0 0
   60.00 00027 0008 143879 -4771140.73184 1.00000 1.00000 0 0 0
   62.00 00028 0009 143786 -4766277.34750 1.00000 1.00000 0 0 0
   65.00 00029 0009 143207 -4758879.79140 1.00000 1.00000 0 0 0
   67.00 00030 0011 142915 -4750335.41419 1.00000 1.00000 0 0 0
   70.00 00031 0012 142540 -4740069.68152 1.00000 1.00000 0 0 0
   72.00 00032 0010 142132 -4731067.83690 1.00000 1.00000 0 0 0
   75.00 00033 0011 141670 -4720375.46632 1.00000 1.00000 0 0 0
   77.00 00034 0013 141861 -4714414.80582 1.00000 1.00000 0 0 0
   80.00 00035 0012 141653 -4708122.11844 1.00000 1.00000 0 0 0
   83.00 00036 0015 141362 -4702491.82845 1.00000 1.00000 0 0 0
   86.00 00037 0013 141185 -4698258.25330 1.00000 1.00000 0 0 0
   89.00 00038 0018 141656 -4695711.00946 1.00000 1.00000 0 0 0
   92.00 00039 0015 141595 -4692675.94651 1.00000 1.00000 0 0 0
   95.00 00040 0012 141816 -4690481.59349 1.00000 1.00000 0 0 0
   98.00 00041 0015 141369 -4685741.81563 1.00000 1.00000 0 0 0
  101.00 00042 0014 141289 -4682474.85986 1.00000 1.00000 0 0 0
  104.00 00043 0013 140964 -4677735.21136 1.00000 1.00000 0 0 0
  107.00 00044 0012 141028 -4674907.51948 1.00000 1.00000 0 0 0
  109.00 00045 0010 140874 -4671126.27616 1.00000 1.00000 0 0 0
  112.00 00046 0012 140905 -4668338.19333 1.00000 1.00000 0 0 0
  114.00 00047 0011 141312 -4666970.82999 1.00000 1.00000 0 0 0
  117.00 00048 0009 141142 -4665651.21614 1.00000 1.00000 0 0 0
  119.00 00049 0009 141112 -4664384.82564 1.00000 1.00000 0 0 0
  122.00 00050 0009 141152 -4662762.70985 1.00000 1.00000 0 0 0
